'time', 'CO2'
2381.76, 10.371746
2382.26, 10.379764
2382.76, 10.386618
2383.26, 10.262843
2383.76, 10.348698
2384.26, 10.274766
2384.76, 10.390735
2385.26, 10.355799
2385.76, 10.248187
2386.26, 10.245790
2386.76, 10.293971
2387.26, 10.189434
2387.76, 10.350667
2388.26, 10.374143
2388.76, 10.370240
2389.26, 10.454590
2389.76, 10.366644
2390.26, 10.359977
2390.76, 10.351341
2391.26, 10.331951
2391.76, 10.349743
2392.26, 10.347531
2392.76, 10.335055
2393.26, 10.412215
2393.76, 10.416518
2394.26, 10.200526
2394.76, 10.383913
2395.26, 10.308660
2395.76, 10.366000
2396.26, 10.369563
2396.76, 10.405640
2397.26, 10.279283
2397.76, 10.360500
2398.26, 10.398542
2398.76, 10.373682
2399.26, 10.288225
2399.76, 10.416945
2400.26, 10.386556
2400.76, 10.457907
2401.26, 10.368827
2401.76, 10.395774
2402.26, 10.318371
2402.76, 10.483197
2403.26, 10.191462
2403.76, 10.229133
2404.26, 10.261370
2404.76, 10.402780
2405.26, 10.451487
2405.76, 10.316865
2406.26, 10.354444
2406.76, 10.410709
2407.26, 10.439011
2407.76, 10.308538
2408.26, 10.118480
2408.76, 10.233804
2409.26, 10.281496
2409.76, 10.413414
2410.26, 10.411048
2410.76, 10.364155
2411.26, 10.402905
2411.76, 10.332688
2412.26, 10.234942
2412.76, 10.297719
2413.26, 10.217364
2413.76, 10.233867
2414.26, 10.293357
2414.76, 10.134829
2415.26, 10.252181
2415.76, 10.304758
2416.26, 10.324670
2416.76, 10.349467
2417.26, 10.225415
2417.76, 10.317079
2418.26, 10.259802
2418.76, 10.360592
2419.26, 10.341876
2419.76, 10.287088
2420.26, 10.410893
2420.76, 10.425828
2421.26, 10.344181
2421.76, 10.296214
2422.26, 10.349898
2422.76, 10.330262
2423.26, 10.481570
2423.76, 10.319998
2424.26, 10.368981
2424.76, 10.382654
2425.26, 10.429944
2425.76, 10.402135
2426.26, 10.359793
2426.76, 10.339605
2427.26, 10.278392
2427.76, 10.435937
2428.26, 10.417899
2428.76, 10.221881
2429.26, 10.263181
2429.76, 10.247355
2430.26, 10.370024
2430.76, 10.380533
2431.26, 10.403858
2431.76, 10.338589
2432.26, 10.429914
2432.76, 10.354260
2433.26, 10.318187
2433.76, 10.368981
2434.26, 10.411048
2434.76, 10.394854
2435.26, 10.353461
2435.76, 10.407205
2436.26, 10.355891
2436.76, 10.432557
2437.26, 10.380842
2437.76, 10.321198
2438.26, 10.417284
2438.76, 10.340893
2439.26, 10.347655
2439.76, 10.396267
2440.26, 10.275167
2440.76, 10.340587
2441.26, 10.569299
2441.76, 10.306602
2442.26, 10.290592
2442.76, 10.405854
2443.26, 10.420572
2443.76, 10.415410
2444.26, 10.386586
2444.76, 10.340739
2445.26, 10.345995
2445.76, 10.504369
2446.26, 10.326267
2446.76, 10.339848
2447.26, 10.441562
2447.76, 10.414582
2448.26, 10.334410
2448.76, 10.363478
2449.26, 10.368304
2449.76, 10.328634
2450.26, 10.455172
2450.76, 10.283708
2451.26, 10.330015
2451.76, 10.320643
2452.26, 10.290467
2452.76, 10.232144
2453.26, 10.301901
2453.76, 10.312746
2454.26, 10.319413
2454.76, 10.335055
2455.26, 10.317970
